Ticker,Name,Sector,Industry,Universe,Volume,AverageVolume10days,MACDV_12_26_9,MACDV_H_12_26_9,MACDV_H_12_26_9_TrendUp,MACDV_50_200,OTT Uptrend,OTT Ratio,ATR_20,Signal,USI,USI Diff,USI crossed zero,Num shares,Close
KD,Kyndryl,Information Technology,IT Consulting & Other Services,S&P 400,2090500,1863800.0,-75.20596144572059,-13.21403841536575,False,-140.02262916646987,False,0.9742382786026046,1.0125454881520595,None,-0.2403818168154847,-0.07079464381943606,False,98,27.68000030517578
HRMY,"Harmony Biosciences Holdings, Inc.",Health Care,Biotechnology,S&P 600,1027300,956290.0,-185.01429274473395,-4.279218627721264,True,-140.1270165021949,False,0.9757650504011738,1.0825388379005882,None,-0.6323992300189393,0.012118279623733907,False,92,26.540000915527344
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,S&P 600,1435400,1533840.0,-61.01505717160154,-9.711403278673316,False,-140.83880659920126,False,0.9878258503875982,0.3106022460831436,None,-0.2744632370933181,-0.021191011869805654,False,321,8.5600004196167
AWR,American States Water Company,Utilities,Water Utilities,S&P 600,287900,251350.0,-16.679041705227075,29.185444970487108,True,-143.23798137758436,False,0.983609842366853,1.2089125535549152,None,-0.0030329587872074183,0.11349457378828726,False,82,74.45999908447266
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,S&P 500,836100,801820.0,-79.62564404592256,-20.676041861164705,False,-148.57783537073786,False,0.9762534559702657,1.782850143694777,None,-0.3142612936395452,-0.0317483320801632,False,56,101.66999816894531
EQIX,Equinix,Real Estate,Data Center REITs,S&P 500,470400,471050.0,26.59735041905452,13.801046783150362,True,-149.49016621507513,False,0.9854718043392925,14.651185213158763,None,0.2391088961740613,0.048877898499685574,False,6,800.5999755859375
FOXF,Fox Factory,Consumer Discretionary,Automotive Parts & Equipment,S&P 600,487800,518050.0,-120.95871739246087,-18.430704711885397,False,-151.23435534981135,False,0.9701112654637905,0.9772579107617703,None,-0.5410844043207164,-0.038494482904214644,False,102,22.209999084472656
ALRM,"Alarm.Com, Inc.",Financials,Application Software,S&P 600,351100,430290.0,-95.83492938620121,-10.157046462651422,False,-151.42503874805502,False,0.9778011802992131,1.3093314825553075,None,-0.3492331944589824,-0.014913228758639707,False,76,49.880001068115234
ADMA,"ADMA Biologics, Inc.",Health Care,Biotechnology,S&P 600,3453700,3567860.0,-91.64155485237636,-1.1223421047375837,True,-152.30539424361774,False,0.9797908876552601,0.6028026546886875,None,-0.3135114513920035,0.03859496651617972,False,165,14.539999961853027
WING,Wingstop,Consumer Discretionary,Restaurants,S&P 400,648900,867750.0,-108.39027173473099,8.33203260328662,False,-154.99212480298746,False,0.979755103346874,11.70282428436232,None,-0.5232269311243998,0.004630131593008846,False,8,241.25
HTO,H2O America,Utilities,Water Utilities,S&P 600,202300,244020.0,-37.05169551859146,10.937653259038093,True,-155.44095585910034,False,0.9828135075513026,1.003396503334509,None,-0.10919074492844227,0.07292478194747806,False,99,48.72999954223633
BJ,BJ's Wholesale Club,Consumer Staples,Consumer Staples Merchandise Retail,S&P 400,3184600,2561830.0,-111.87954538954783,-7.802127745262851,True,-155.6184692439905,False,0.9758975686824372,2.3240962082576155,None,-0.45753527240667285,-0.017636778012840748,False,43,90.08000183105469
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,S&P 500,1681900,967690.0,-106.36175224194808,-10.084580098114685,False,-156.94508595493187,False,0.9715344319817745,3.0176961818794523,None,-0.5162730905448711,-0.05284954683522397,False,33,161.4499969482422
QNST,"QuinStreet, Inc.",Communication Services,Interactive Media & Services,S&P 600,574300,542670.0,-59.63055826548813,-34.86065117488131,False,-156.9683959079129,False,0.9681960563701542,0.5555866304735178,None,-0.3420755644879555,-0.06557848611259837,False,179,13.869999885559082
DLB,Dolby,Information Technology,Application Software,S&P 400,385400,515680.0,-50.659473815313184,-19.951187577849737,False,-157.5092543120014,False,0.977495394573798,1.357097237723248,None,-0.182756312108182,-0.05709210579574603,False,73,68.1500015258789
SAFT,"Safety Insurance Group, Inc.",Financials,Property & Casualty Insurance,S&P 600,67600,66040.0,-58.18980879710435,-15.288613597860092,False,-158.0227820727401,False,0.9785822180705582,1.3593007466882259,None,-0.2977898451674114,-0.04923868052238389,False,73,69.08999633789062
